Câu h?i;Ph??ng án A;Ph??ng án B;Ph??ng án C;Ph??ng án D;?áp án ?úng
Câu 39: Xác ??nh n?i dung c? b?n trong ??nh ngh?a c?a V.I.Lênin v? v?t ch?t:;V?t ch?t là nguyên t?, là c? s? c?a m?i t?n t?i.;V?t ch?t là cái có th? c?m nh?n ???c b?ng các giác quan.;Th?c t?i khách quan - t?n t?i ??c l?p v?i ý th?c và khi tác ??ng ??n giác quan con ng??i thì có th? sinh ra c?m giác.;V?t ch?t là toàn b? th? gi?i hi?n th?c.;C
Câu 40: N?u không th?a nh?n v?t ch?t t? thân v?n ??ng thì nh?t ??nh d?n t?i quan ?i?m duy tâm v? ngu?n g?c c?a v?n ??ng c?a v?t ch?t, vì:;S? ph?i th?a nh?n th? gi?i ??ng im tuy?t ??i.;S? ph?i th?a nh?n nguyên nhân cu?i cùng c?a m?i v?n ??ng c?a v?t ch?t là t? ý th?c.;S? mâu thu?n v?i các ??nh lu?t b?o toàn trong v?t lý.;S? không gi?i thích ???c s? ?a d?ng c?a th? gi?i.;B
Câu 41: ??ng im là:;Tuy?t ??i.;T??ng ??i.;V?nh vi?n.;Không t?n t?i.;B
Câu 42: Không gian và th?i gian:;Tách r?i kh?i v?t ch?t.;Là s?n ph?m c?a t? duy con ng??i.;Không gian và th?i gian ??u là nh?ng hình th?c c? b?n c?a t?n t?i v?t ch?t.;Không gian có 3 chi?u, th?i gian có 2 chi?u.;C
Câu 43: Theo quan ?i?m c?a tri?t h?c Mác - Lênin thu?c tính ph?n ánh là thu?c tính?;Ch? có ? con ng??i.;Ch? có ? sinh v?t.;Ch? có ? v?t ch?t h?u c?.;Ph? bi?n ? m?i t? ch?c v?t ch?t.;D
Câu 44: Nhân t? c? b?n, tr?c ti?p t?o thành ngu?n g?c xã h?i c?a ý th?c:;Lao ??ng và ngôn ng?.;Giáo d?c và pháp lu?t.;Nhà n??c và giai c?p.;Tôn giáo và ngh? thu?t.;A
Câu 45: Ngu?n g?c xã h?i tr?c ti?p và quan tr?ng nh?t quy?t ??nh s? ra ??i và phát tri?n c?a ý th?c là:;Giao ti?p.;Th?c ti?n.;T? duy.;Giáo d?c.;B
"Câu 46: Ch?n t? phù h?p ?i?n vào câu sau cho ?úng quan ?i?m duy v?t bi?n ch?ng: ""Ý ni?m ch?ng qua là ... ???c di chuy?n vào b? óc con ng??i và ???c c?i bi?n ?i ? trong ?ó"".";Cái tinh th?n.;Cái v?t ch?t.;Cái tr?u t??ng.;Cái c?m tính.;B
Câu 47: S? thông thái c?a con ng??i:;Ch? th? hi?n trong nh?n th?c lý lu?n.;Ch? th? hi?n trong các tác ph?m ngh? thu?t.;???c quy?t ??nh b?i ngu?n g?c xu?t thân.;???c th? hi?n ch?c ch?n h?n trong ho?t ??ng th?c ti?n.;D
Câu 48: Ph??ng pháp lu?n chung c?a ch? ngh?a duy v?t là trong nh?n th?c và th?c ti?n c?n:;Xu?t phát t? th?c t? khách quan.;Xu?t phát t? ý mu?n ch? quan.;Xu?t phát t? kinh nghi?m c?a b?n thân.;Xu?t phát t? các h?c thuy?t có s?n.;A
Câu 49: ??c ?i?m ch? y?u c?a phép bi?n ch?ng trong tri?t h?c Hyl?p là:;Tính h? th?ng, khoa h?c.;Mang tính duy tâm, th?n bí.;Tính ch?t t? phát, ngây th?, m?c m?c.;G?n li?n v?i các thành t?u khoa h?c.;C
Câu 50: Phép bi?n ch?ng nào cho r?ng bi?n ch?ng ý ni?m sinh ra bi?n ch?ng c?a s? v?t?;Phép bi?n ch?ng duy v?t.;Phép bi?n ch?ng t? phát.;Phép bi?n ch?ng ch?t phác.;Phép bi?n ch?ng duy tâm khách quan.;D
Câu 51: T?i sao C.Mác nói phép bi?n ch?ng c?a G.W.Ph.Hêghen là phép bi?n ch?ng l?n ??u xu?ng ??t?;Ph? nh?n s? v?n ??ng, phát tri?n.;Ch? th?a nh?n s? thay ??i v? l??ng.;Coi ??u tranh c?a các m?t ??i l?p là tuy?t ??i.;Th?a nh?n t? nhiên, xã h?i là s?n ph?m c?a quá trình phát tri?n c?a tinh th?n, ý ni?m.;D
Câu 52: Bi?n ch?ng khách quan là gì?;Là bi?n ch?ng trong t? duy.;Là logic bi?n ch?ng.;Là bi?n ch?ng c?a các t?n t?i v?t ch?t.;Là lý lu?n v? bi?n ch?ng.;C
Câu 53: Bi?n ch?ng ch? quan là gì?;Là bi?n ch?ng c?a th? gi?i v?t ch?t.;Là bi?n ch?ng c?a ý th?c.;Là s? v?n ??ng c?a t? nhiên.;Là các quy lu?t khách quan.;B
Câu 54: Bi?n ch?ng t? phát là gì?;Là phép bi?n ch?ng ?ã ???c h? th?ng hóa thành lý lu?n.;Là phép bi?n ch?ng duy v?t c?a C. Mác.;Là phép bi?n ch?ng duy tâm c?a Hêghen.;Là nh?ng y?u t? bi?n ch?ng con ng??i ??t ???c trong quá trình tìm hi?u th? gi?i nh?ng ch?a có h? th?ng.;D
Câu 55: ?âu là bi?n ch?ng v?i t? cách là khoa h?c trong s? các quan ni?m, các h? th?ng lý lu?n d??i ?ây?;Phép bi?n ch?ng c? ??i.;Phép bi?n ch?ng t? phát.;Phép bi?n ch?ng duy tâm c? ?i?n ??c.;Phép bi?n ch?ng duy v?t.;D
Câu 56: Theo quan ni?m c?a ch? ngh?a duy v?t bi?n ch?ng gi?a bi?n ch?ng ch? quan và bi?n ch?ng khách quan quan h? th? nào v?i nhau?;Bi?n ch?ng ch? quan quy?t ??nh bi?n ch?ng khách quan.;Bi?n ch?ng khách quan là s?n ph?m c?a bi?n ch?ng ch? quan.;Bi?n ch?ng ch? quan ph?n ánh bi?n ch?ng khách quan.;Hai lo?i bi?n ch?ng này t?n t?i ??c l?p, không liên quan ??n nhau.;C
Câu 57: ?âu là n?i dung nguyên lý c?a phép bi?n ch?ng duy v?t v? m?i liên h? ph? bi?n c?a các s? v?t và hi?n t??ng?;M?i s? v?t, hi?n t??ng ??u t?n t?i bi?t l?p, không liên quan ??n nhau.;Ch? có nh?ng s? v?t h?u hình m?i liên h? v?i nhau.;M?i liên h? do con ng??i quy ??nh cho s? v?t.;Th? gi?i là m?t ch?nh th? th?ng nh?t bao g?m các s? v?t, các quá trình v?a tách bi?t nhau, v?a có m?i liên h? qua l?i v?i nhau, v?a thâm nh?p và chuy?n hóa cho nhau.;D
Câu 58: ?âu là quan ni?m c?a phép bi?n ch?ng duy v?t v? c? s? các m?i liên h??;C? s? c?a các m?i liên h? là do m?t l?c l??ng siêu nhiên t?o ra.;Các m?i liên h? là do c?m giác, ý th?c c?a con ng??i t?o ra.;Các s? v?t liên h? v?i nhau m?t cách ng?u nhiên, không có c? s?.;S? liên h? qua l?i gi?a các s? v?t, hi?n t??ng có c? s? ? tính th?ng nh?t v?t ch?t c?a th? gi?i.;D
Câu 59: ?âu là quan ni?m c?a phép bi?n ch?ng duy v?t v? vai trò c?a các m?i liên h? ??i v?i s? v?n ??ng và phát tri?n c?a các s? v?t hi?n t??ng?;T?t c? các m?i liên h? ??u có vai trò quan tr?ng nh? nhau.;Ch? có m?i liên h? bên trong m?i quan tr?ng.;Các m?i liên h? có vai trò khác nhau tùy vào nh?ng ?i?u ki?n xác ??nh.;M?i liên h? không có vai trò gì ??i v?i s? phát tri?n.;C
Câu 60: V.I.Lênin nói hai quan ni?m c? b?n v? s? phát tri?n... Câu nói này c?a V.I.Lênin nói trong tác ph?m nào?;Ch? ngh?a duy v?t và ch? ngh?a kinh nghi?m phê phán.;Bút ký tri?t h?c.;Nhà n??c và cách m?ng.;Làm gì?;B
Câu 61: Yêu c?u c?a quan ni?m toàn di?n ph?i xem xét t?t c? các m?i liên h? c?a s? v?t. Yêu c?u này không th?c hi?n ???c nh?ng v?n ph?i ?? ra ?? làm gì?;?? ch?ng t? s? ph?c t?p c?a nh?n th?c.;?? làm cho v?n ?? tr? nên khó kh?n h?n.;?? ph? nh?n kh? n?ng nh?n th?c c?a con ng??i.;?? phòng cho chúng ta kh?i ph?m sai l?m và s? c?ng nh?c.;D
Câu 62: Ph??ng pháp siêu hình th?ng tr? tri?t h?c vào th?i k? nào?;C? ??i.;Th? k? XVII - XVIII.;Trung c?.;Hi?n ??i.;B
Câu 63: Có m?y hình th?c c? b?n c?a phép bi?n ch?ng?;Có 2.;Có 3.;Có 4.;Có 5.;B
Câu 64: Phép bi?n ch?ng duy v?t bao g?m nh?ng nguyên lý, quy lu?t c? b?n nào?;1 nguyên lý, 3 quy lu?t.;2 nguyên lý, 6 quy lu?t.;3 nguyên lý, 3 quy lu?t.;2 nguyên lý, 3 quy lu?t.;D
Câu 65: Phép bi?n ch?ng nào ???c coi là khoa h?c v? nh?ng quy lu?t ph? bi?n c?a s? v?n ??ng và s? phát tri?n c?a t? nhiên, xã h?i và t? duy con ng??i?;Phép bi?n ch?ng ngây th?.;Phép bi?n ch?ng duy tâm.;Phép bi?n ch?ng c?a ch? ngh?a Mác - Lênin.;Phép bi?n ch?ng t? phát.;C
Câu 66: Quan ni?m nào cho r?ng c? s? c?a m?i liên h? gi?a các s? v?t, hi?n t??ng là ? tính th?ng nh?t v?t ch?t c?a th? gi?i?;Ph??ng pháp siêu hình.;Ch? ngh?a duy tâm ch? quan.;Ch? ngh?a duy tâm khách quan.;Phép bi?n ch?ng duy v?t.;D
"Câu 67: Quan ni?m nào cho r?ng c? s? c?a m?i liên h? gi?a các s? v?t, hi?n t??ng là ? ""ý ni?m tuy?t ??i""?";Ch? ngh?a duy v?t.;Ch? ngh?a duy tâm ch? quan.;Ch? ngh?a duy tâm khách quan.;Ph??ng pháp siêu hình.;C
Câu 68: Quan ni?m nào kh?ng ??nh gi?a các s? v?t, hi?n t??ng c?a th? gi?i khách quan luôn t?n t?i trong tính quy ??nh và t??ng tác, làm bi?n ??i l?n nhau?;Quan ni?m siêu hình.;Quan ni?m duy tâm ch? quan.;Quan ni?m duy tâm khách quan.;Quan ni?m bi?n ch?ng c?a ch? ngh?a Mác - Lênin.;D
Câu 69: Ngu?n g?c, ??ng l?c c? b?n c?a s? v?n ??ng phát tri?n là do:;S? tác ??ng t? bên ngoài.;Ý mu?n c?a con ng??i.;S? th?ng nh?t và ??u tranh c?a các m?t ??i l?p.;S? s?p ??t c?a Th??ng ??.;C
"Câu 70: Lu?n ?i?m ""b?n ch?t con ng??i là t?ng hòa các quan h? xã h?i"" d?a trên quan ?i?m nào?";Quan ni?m duy tâm.;Quan ni?m siêu hình.;Quan ni?m tôn giáo.;Quan ni?m duy v?t bi?n ch?ng.;D
Câu 71: C? s? tr?c ti?p và ch? y?u nh?t ?? hình thành khái ni?m là gì?;Lý lu?n.;Th?c ti?n.;Kinh nghi?m.;C?m giác.;B
Câu 72: Các ph?m trù ???c hình thành thông qua quá trình...nh?ng thu?c tính, nh?ng m?i liên h? v?n có bên trong c?a b?n thân s? v?t.;C?m nh?n và ghi nh?.;Phân tích và so sánh.;Khái quát hóa và tr?u t??ng hóa.;Suy lu?n và phán ?oán.;C
Câu 73: N?i dung c?a các ph?m trù luôn luôn mang tính...;Khách quan.;Ch? quan.;T??ng ??i.;Tr?u t??ng.;A
Câu 74: Ph?m trù là nh?ng...ph?n ánh nh?ng m?t, nh?ng thu?c tính, nh?ng m?i liên h? chung, c? b?n nh?t c?a các s? v?t và hi?n t??ng thu?c m?t l?nh v?c nh?t ??nh.;Hình ?nh c? th?.;Phán ?oán ??n l?.;Khái ni?m r?ng nh?t.;C?m giác tr?c quan.;C
"Câu 75: ""Cái riêng - cái chung"", ""nguyên nhân - k?t qu?"",... ?ó là các...c?a tri?t h?c Mác - Lênin.";Nguyên lý c? b?n.;C?p ph?m trù c? b?n.;Quy lu?t c? b?n.;Ph??ng pháp c? b?n.;B
"Câu 76: Có s? khác nhau nào gi?a ""khái ni?m"" và ""ph?m trù""?";Không có s? khác nhau, chúng là m?t.;"""Ph?m trù"" ph?i là nh?ng ""khái ni?m"" r?ng nh?t.";"""Khái ni?m"" là khách quan, ""ph?m trù"" là ch? quan.";"""Khái ni?m"" dùng trong khoa h?c c? th?, ""ph?m trù"" dùng trong ??i s?ng.";B
"Câu 77: ""Ph?m trù ch? là nh?ng t? tr?ng r?ng, do con ng??i t??ng t??ng ra..."". ?ây là quan ni?m c?a tr??ng phái nào?";Tr??ng phái tri?t h?c duy th?c.;Tr??ng phái tri?t h?c duy danh.;Tr??ng phái tri?t h?c duy v?t.;Tr??ng phái tri?t h?c duy tâm khách quan.;B
Câu 78: Hình th?c c? b?n, ??u tiên c?a m?i quá trình t? duy là?;Phán ?oán.;Suy lu?n.;Khái ni?m.;C?m giác.;C
Câu 79: Cái riêng là m?t ph?m trù dùng ?? ch?...;M?t t?p h?p nhi?u s? v?t, hi?n t??ng.;M?t s? v?t, m?t hi?n t??ng, m?t quá trình riêng l? nh?t ??nh.;Nh?ng ??c ?i?m chung c?a nhi?u s? v?t.;M?t khái ni?m tr?u t??ng.;B
Câu 80: Khái ni?m ??n nh?t dùng ?? ch? cái...;Có th? l?p l?i ? nhi?u s? v?t khác.;Ch? t?n t?i ? m?t s? v?t, m?t hi?n t??ng, tuy?t ??i không l?p l?i ? s? v?t, hi?n t??ng khác.;Chung nh?t c?a m?t l?p s? v?t.;T?n t?i ph? bi?n.;B
Câu 81: Cái ...ch? t?n t?i trong cái...thông quan cái riêng mà bi?u hi?n s? t?n t?i c?a mình.;Chung/Riêng.;Riêng/Chung.;??n nh?t/Chung.;Chung/??n nh?t.;A
Câu 82: Cái ...ch? t?n t?i trong m?i liên h? v?i cái...;Chung/Riêng.;Riêng/Chung.;??n nh?t/Riêng.;Chung/??n nh?t.;B
Câu 83: Cái ...là cái toàn b?, phong phú h?n cái...;Chung/Riêng.;Riêng/Chung.;??n nh?t/Chung.;Chung/??n nh?t.;B
Câu 84: Cái ...là cái b? ph?n, nh?ng sâu s?c h?n cái...;Chung/Riêng.;"Chung/Riêng. (?áp án g?c c?a b?n là ""Riêng/Chung"" nh?ng câu này ?úng ph?i là ""Chung/Riêng"", tôi ?ã s?a l?i)";??n nh?t/Chung.;Riêng/??n nh?t.;B
Câu 85: Cái... và cái... có th? chuy?n hóa l?n nhau trong quá trình phát tri?n c?a s? v?t.;Riêng/Chung.;Riêng/??c thù.;Chung/??n nh?t.;Toàn b?/B? ph?n.;C
